cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
oidxstrategy=<-0.5|asia_pump_short_4h,57,59.6,-0.061,0.74,-3.5,24,inf,inf,13,0.027,44,-0.087,0.0,29,51.7,
strategyxweekday=follow_3h_all|6,104,59.6,0.0555,1.7,5.8,6,0.72,0.43,76,0.1,28,-0.066,0.0,16,50.0,
strategyxregimexdecile_band=london_burst_fade|bear|D4-9,52,59.6,0.1205,2.06,6.3,10,0.51,0.81,45,0.083,7,0.359,0.23,6,83.3,
strategyxweekdayxregime=late_fade|6|neutral,151,59.6,0.0552,2.26,8.3,4,1.07,0.08,31,0.02,120,0.064,0.33,30,63.3,
imbxsymbol=>=0.5|AAVEUSDT,99,59.6,0.0139,1.13,1.4,9,0.56,1.0,0,,99,0.014,0.09,24,54.2,
oidxstrategy=mid|asia_pump_short_4h,198,59.6,0.0303,1.16,6.0,37,0.76,0.48,66,0.075,132,0.008,0.0,78,51.3,
strategyxweekdayxregime=late_fade|0|neutral,99,59.6,0.0611,2.67,6.0,5,0.94,0.1,82,0.07,17,0.017,0.29,33,48.5,
strategyxsym_state=asia_pump_short_4h|neutral,126,59.5,-0.0081,0.96,-1.0,33,inf,inf,60,0.019,66,-0.033,0.0,59,52.5,
strategyxweekdayxregime=burst_follow|1|bear,126,59.5,0.0089,1.12,1.1,4,1.61,0.96,115,0.007,11,0.027,0.1,25,64.0,
strategyxsidexregime=nony_momentum|LONG|bull,741,59.5,0.0243,1.53,18.0,20,0.44,0.19,165,-0.009,576,0.034,0.06,294,62.2,
breadthxstrategy=>=4|asia_pump_short_4h,163,59.5,-0.013,0.94,-2.1,24,inf,inf,22,0.194,141,-0.045,0.0,52,51.9,
adxxstrategy=NA|follow_3h_all,464,59.5,0.0567,1.5,26.3,14,0.29,0.16,464,0.057,0,,0.0,0,,
breadthxstrategy=NA|follow_3h_all,464,59.5,0.0567,1.5,26.3,14,0.29,0.16,464,0.057,0,,0.0,0,,
oidxstrategy=NA|follow_3h_all,464,59.5,0.0567,1.5,26.3,14,0.29,0.16,464,0.057,0,,0.0,0,,
spreadxstrategy=NA|follow_3h_all,464,59.5,0.0567,1.5,26.3,14,0.29,0.16,464,0.057,0,,0.0,0,,
strategyxsym_state=follow_3h_all|NA,464,59.5,0.0567,1.5,26.3,14,0.29,0.16,464,0.057,0,,0.0,0,,
mktbxstrategy=30-60|follow_3h_all,37,59.5,0.0827,2.59,3.1,4,0.75,0.28,0,,37,0.083,0.0,21,66.7,
oidxsymbol=<-0.5|AVAXUSDT,37,59.5,-0.0411,0.69,-1.5,7,inf,inf,0,,37,-0.041,0.08,4,50.0,
strategyxsymbol=asia_pump_short_4h|XRPUSDT,37,59.5,0.0582,1.36,2.2,31,0.45,1.0,12,0.18,25,-0.0,0.0,12,41.7,
strategyxregimexdecile_band=asia_pump_short_4h|bull|D4-9,37,59.5,0.0464,1.26,1.7,12,1.35,1.63,4,0.188,33,0.029,0.0,11,54.5,
strategyxweekdayxhour_band=ny_flush_buy_4h|1|12-17,74,59.5,0.0267,1.23,2.0,8,1.54,0.48,30,0.152,44,-0.059,0.0,15,80.0,
strategyxweekday=late_fade|5,101,59.4,0.03,1.86,3.0,8,1.2,0.22,47,0.075,54,-0.01,0.11,35,48.6,
strategyxweekdayxhour_band=late_fade|5|18-23,101,59.4,0.03,1.86,3.0,8,1.2,0.22,47,0.075,54,-0.01,0.11,35,48.6,
hour_bandxsymbol=12-17|BCHUSDT,32,59.4,-0.095,0.48,-3.0,8,inf,inf,0,,32,-0.095,0.12,7,42.9,
strategyxregimexbreadth=burst_follow|bear|>=4,224,59.4,0.0167,1.29,3.7,10,0.44,0.33,117,0.019,107,0.014,0.08,73,53.4,
breadthxsymbol=>=4|BCHUSDT,91,59.3,-0.0014,0.99,-0.1,10,inf,inf,0,,91,-0.001,0.05,18,61.1,
hour_bandxmktb=0-5|>=60,91,59.3,-0.0013,0.96,-0.1,1,inf,inf,0,,91,-0.001,0.0,12,50.0,
strategyxweekdayxhour_band=nony_momentum|5|0-5,59,59.3,-0.0527,0.5,-3.1,7,inf,inf,15,-0.023,44,-0.063,0.05,20,55.0,
breadthxstrategy=>=4|follow_3h_all,113,59.3,0.0345,1.4,3.9,19,0.55,0.38,16,-0.06,97,0.05,0.0,58,56.9,
concxdecile_band=NA|D10,130,59.2,0.0023,1.01,0.3,7,5.41,3.59,102,-0.023,17,0.133,0.28,25,68.0,
decile_bandxfund=D10|NA,130,59.2,0.0023,1.01,0.3,7,5.41,3.59,102,-0.023,17,0.133,0.28,25,68.0,
decile_bandxmktb=D10|NA,130,59.2,0.0023,1.01,0.3,7,5.41,3.59,102,-0.023,17,0.133,0.28,25,68.0,
decile_bandxregime=D10|NA,130,59.2,0.0023,1.01,0.3,7,5.41,3.59,102,-0.023,17,0.133,0.28,25,68.0,
concxstrategy=2-3|follow_3h_all,76,59.2,0.0123,1.17,0.9,11,1.75,0.58,8,-0.108,68,0.026,0.0,21,42.9,
decile_bandxstrategy=D4-9|asia_pump_short_4h,98,59.2,0.0302,1.17,3.0,36,0.78,1.21,39,0.09,59,-0.009,0.0,43,55.8,
strategyxdecile_bandximb=asia_pump_short_4h|D4-9|<0.5,98,59.2,0.0302,1.17,3.0,36,0.78,1.21,39,0.09,59,-0.009,0.0,43,55.8,
atrpxsymbol=hi|BCHUSDT,71,59.2,-0.01,0.89,-0.7,9,inf,inf,0,,71,-0.01,0.03,13,53.8,
strategyxweekdayxhour_band=london_burst_fade|2|12-17,137,59.1,0.119,1.9,16.3,8,0.38,0.34,71,0.151,66,0.084,0.24,43,69.8,
decile_bandxmktb=D10|30-60,269,59.1,0.0478,1.58,12.8,4,0.64,0.12,0,,269,0.048,0.05,85,56.5,
strategyxdecile_bandximb=late_fade|D10|>=0.5,83,59.0,0.0558,2.47,4.6,22,0.51,0.13,53,0.026,30,0.109,0.29,20,70.0,
sidexsymbol=LONG|LINKUSDT,78,59.0,0.042,1.64,3.3,10,0.49,1.0,0,,78,0.042,0.12,23,56.5,
regimexstrategy=neutral|follow_3h_all,319,58.9,0.0304,1.25,9.7,17,0.56,0.23,300,0.037,19,-0.074,0.0,15,33.3,
strategyxsidexregime=follow_3h_all|LONG|neutral,319,58.9,0.0304,1.25,9.7,17,0.56,0.23,300,0.037,19,-0.074,0.0,15,33.3,
strategyxregimextrig=follow_3h_all|neutral|burst,319,58.9,0.0304,1.25,9.7,17,0.56,0.23,300,0.037,19,-0.074,0.0,15,33.3,
atrpxstrategy=hi|nony_momentum,835,58.9,0.017,1.35,14.2,45,0.43,0.22,282,0.014,553,0.018,0.05,278,60.1,
strategyxweekday=nony_momentum|0,389,58.9,0.0195,1.34,7.6,8,1.03,0.18,237,-0.012,152,0.069,0.09,107,61.7,
regimexstrategy=bull|nony_momentum,775,58.8,0.0229,1.5,17.8,20,0.44,0.22,171,-0.01,604,0.032,0.06,322,61.2,
strategyxregimextrig=nony_momentum|bull|burst,775,58.8,0.0229,1.5,17.8,20,0.44,0.22,171,-0.01,604,0.032,0.06,322,61.2,
mktbxsymbol=30-60|DASHUSDT,51,58.8,0.0254,1.27,1.3,4,0.72,1.0,0,,51,0.025,0.04,22,63.6,
symbolxv3=ICPUSDT|N,85,58.8,-0.0016,0.98,-0.1,17,inf,inf,50,-0.0,35,-0.003,0.08,12,58.3,
strategy=follow_3h_all,602,58.8,0.0473,1.43,28.5,37,0.27,0.14,482,0.05,120,0.036,0.0,80,52.5,Y
imbxstrategy=>=0.5|follow_3h_all,602,58.8,0.0473,1.43,28.5,37,0.27,0.14,482,0.05,120,0.036,0.0,80,52.5,Y
sessionxstrategy=None|follow_3h_all,602,58.8,0.0473,1.43,28.5,37,0.27,0.14,482,0.05,120,0.036,0.0,80,52.5,Y
sidexstrategy=LONG|follow_3h_all,602,58.8,0.0473,1.43,28.5,37,0.27,0.14,482,0.05,120,0.036,0.0,80,52.5,Y
strategyxvs=follow_3h_all|N,602,58.8,0.0473,1.43,28.5,37,0.27,0.14,482,0.05,120,0.036,0.0,80,52.5,Y
strategyxweekday=follow_3h_all|0,131,58.8,0.0433,1.37,5.7,5,0.78,0.22,122,0.028,9,0.247,0.0,14,42.9,
mktbxsym_state=30-60|neutral,114,58.8,0.0074,1.08,0.8,3,1.25,2.05,0,,114,0.007,0.05,41,56.1,
mktbxspread=>=60|2-5,97,58.8,0.0191,1.31,1.9,2,0.53,0.83,0,,97,0.019,0.05,25,48.0,
atrpxstrategy=mid|follow_3h_all,201,58.7,0.0373,1.29,7.5,24,0.56,0.25,186,0.027,15,0.171,0.0,16,56.2,
mktbxsymbol=30-60|BCHUSDT,46,58.7,0.0051,1.05,0.2,4,4.78,1.0,0,,46,0.005,0.04,12,50.0,
spreadxstrategy=2-5|follow_3h_all,46,58.7,-0.0095,0.92,-0.4,16,inf,inf,6,-0.162,40,0.013,0.0,30,53.3,
decile_bandxstrategy=D4-9|follow_3h_all,116,58.6,0.0622,1.74,7.2,31,0.24,0.4,66,0.11,50,-0.001,0.0,38,52.6,
strategyxdecile_bandximb=follow_3h_all|D4-9|>=0.5,116,58.6,0.0622,1.74,7.2,31,0.24,0.4,66,0.11,50,-0.001,0.0,38,52.6,
spreadxstrategy=<2|follow_3h_all,82,58.5,0.0355,1.38,2.9,18,0.57,0.73,9,-0.156,73,0.059,0.0,45,57.8,
strategyxvolz=ny_flush_buy_4h|>=5,164,58.5,-0.0205,0.88,-3.4,31,inf,inf,53,0.016,111,-0.038,0.0,23,60.9,
strategyxregimexadx=asia_pump_short_4h|neutral|20-30,94,58.5,-0.0169,0.91,-1.6,17,inf,inf,51,-0.023,43,-0.01,0.0,43,55.8,
strategyxv3=follow_3h_all|N,595,58.5,0.0462,1.42,27.5,37,0.27,0.15,475,0.049,120,0.036,0.0,80,52.5,Y
regimexstrategy=bear|follow_3h_all,166,58.4,0.0631,1.62,10.5,11,0.42,0.14,161,0.061,5,0.118,0.0,8,75.0,
strategyxsidexregime=follow_3h_all|LONG|bear,166,58.4,0.0631,1.62,10.5,11,0.42,0.14,161,0.061,5,0.118,0.0,8,75.0,
strategyxregimextrig=follow_3h_all|bear|burst,166,58.4,0.0631,1.62,10.5,11,0.42,0.14,161,0.061,5,0.118,0.0,8,75.0,
strategyxdecile_bandximb=late_fade|D4-9|>=0.5,89,58.4,0.0542,2.26,4.8,24,0.9,0.1,34,0.041,54,0.063,0.33,19,47.4,
concxstrategy=0-1|nony_momentum,423,58.4,0.0101,1.16,4.3,34,0.31,0.88,81,-0.032,342,0.02,0.09,423,58.4,
strategyxsymbol=burst_follow|BNBUSDT,233,58.4,0.0115,1.16,2.7,47,0.43,1.0,102,0.035,128,-0.007,0.09,41,58.5,
decile_bandxstrategy=D2-3|asia_pump_short_4h,257,58.4,0.0069,1.04,1.8,51,2.17,2.57,87,0.103,170,-0.042,0.0,103,57.3,
strategyxdecile_bandximb=asia_pump_short_4h|D2-3|<0.5,257,58.4,0.0069,1.04,1.8,51,2.17,2.57,87,0.103,170,-0.042,0.0,103,57.3,
breadthxstrategy=2-3|nony_momentum,281,58.4,0.0165,1.26,4.6,41,0.27,0.8,123,-0.008,158,0.036,0.1,187,61.0,
cascxstrategy=N|follow_3h_all,509,58.3,0.0481,1.43,24.5,31,0.3,0.17,462,0.053,47,-0.003,0.0,30,46.7,
concxsymbol=2-3|BCHUSDT,96,58.3,0.0047,1.05,0.5,10,2.14,1.0,0,,96,0.005,0.06,11,63.6,
oidxsymbol=<-0.5|RENDERUSDT,48,58.3,-0.0072,0.94,-0.3,14,inf,inf,9,0.016,39,-0.013,0.1,30,53.3,
sym_statexsymbol=bull|AVAXUSDT,36,58.3,0.0062,1.06,0.2,4,2.55,1.0,0,,36,0.006,0.06,12,50.0,
concxstrategy=>=6|follow_3h_all,458,58.3,0.0423,1.37,19.4,17,0.23,0.15,458,0.042,0,,0.0,0,,
concxsymbol=2-3|AAVEUSDT,139,58.3,0.025,1.25,3.5,10,0.62,1.0,0,,139,0.025,0.09,29,55.2,
cascxstrategy=N|asia_pump_short_4h,388,58.2,0.0391,1.24,15.2,52,0.49,0.44,172,0.092,216,-0.003,0.0,153,54.2,
strategyxvolz=asia_pump_short_4h|2-5,91,58.2,-0.0044,0.98,-0.4,32,inf,inf,36,0.05,55,-0.04,0.0,20,55.0,
concxstrategy=NA|london_burst_fade,79,58.2,0.1117,1.79,8.8,2,0.65,0.31,35,0.089,0,,0.23,0,,
fundxstrategy=NA|london_burst_fade,79,58.2,0.1117,1.79,8.8,2,0.65,0.31,35,0.089,0,,0.23,0,,
mktbxstrategy=NA|london_burst_fade,79,58.2,0.1117,1.79,8.8,2,0.65,0.31,35,0.089,0,,0.23,0,,
regimexstrategy=NA|london_burst_fade,79,58.2,0.1117,1.79,8.8,2,0.65,0.31,35,0.089,0,,0.23,0,,
strategyxregimexadx=london_burst_fade|NA|NA,79,58.2,0.1117,1.79,8.8,2,0.65,0.31,35,0.089,0,,0.23,0,,
strategyxregimexbreadth=london_burst_fade|NA|NA,79,58.2,0.1117,1.79,8.8,2,0.65,0.31,35,0.089,0,,0.23,0,,
strategyxregimextrig=london_burst_fade|NA|burst,79,58.2,0.1117,1.79,8.8,2,0.65,0.31,35,0.089,0,,0.23,0,,
oidxstrategy=<-0.5|nony_momentum,428,58.2,0.0074,1.13,3.2,36,0.52,0.61,117,-0.009,311,0.014,0.04,164,61.0,
strategyxweekdayxhour_band=setup_follow|6|6-11,208,58.2,0.0302,1.57,6.3,9,0.42,0.15,79,0.001,129,0.048,0.12,89,60.7,
strategyxweekdayxregime=burst_follow|6|bear,203,58.1,-0.0051,0.92,-1.0,2,inf,inf,135,0.005,68,-0.026,0.03,37,56.8,
strategyxregimexdecile_band=late_fade|neutral|D10,74,58.1,0.0426,1.79,3.2,18,0.75,0.3,49,0.043,25,0.041,0.31,17,52.9,
mktbxvolz=>=60|>=5,31,58.1,0.0127,1.31,0.4,2,1.35,0.53,0,,31,0.013,0.03,8,25.0,
strategyxsymbol=follow_3h_all|ADAUSDT,31,58.1,-0.0038,0.97,-0.1,11,inf,inf,28,0.005,3,-0.091,0.0,2,0.0,
strategyxsymbol=asia_burst_fade|HYPEUSDT,31,58.1,-0.0148,0.89,-0.5,8,inf,inf,0,,31,-0.015,0.03,12,50.0,
symbolxv3=TRUMPUSDT|Y,31,58.1,0.0044,1.05,0.1,7,5.56,1.0,0,,31,0.004,0.06,16,56.2,
symbolxvolz=LINKUSDT|>=5,31,58.1,0.0345,1.33,1.1,6,0.9,1.0,0,,31,0.035,0.16,1,100.0,
strategyxweekdayxhour_band=follow_3h_all|0|18-23,31,58.1,0.0744,1.44,2.3,5,2.19,0.55,27,0.014,4,0.48,0.0,9,33.3,
strategyxweekdayxregime=follow_3h_all|5|neutral,31,58.1,-0.0714,0.64,-2.2,1,inf,inf,31,-0.071,0,,0.0,0,,
regimexstrategy=neutral|asia_pump_short_4h,174,58.0,0.0271,1.18,4.7,26,0.75,0.72,128,0.037,46,-0.001,0.0,50,56.0,
strategyxsidexregime=asia_pump_short_4h|SHORT|neutral,174,58.0,0.0271,1.18,4.7,26,0.75,0.72,128,0.037,46,-0.001,0.0,50,56.0,
strategyxregimextrig=asia_pump_short_4h|neutral|burst,174,58.0,0.0271,1.18,4.7,26,0.75,0.72,128,0.037,46,-0.001,0.0,50,56.0,
symbolxvolz=AAVEUSDT|<2,112,58.0,0.0101,1.1,1.1,10,1.31,1.0,0,,112,0.01,0.1,34,50.0,
symbolxvs=AAVEUSDT|N,150,58.0,0.0269,1.29,4.0,10,0.42,1.0,0,,150,0.027,0.09,42,54.8,
strategyxsymbol=nony_momentum|SOLUSDT,238,58.0,0.0156,1.25,3.7,50,0.2,1.0,141,-0.001,94,0.046,0.1,97,67.0,
symbolxv3=LINKUSDT|N,69,58.0,-0.0034,0.97,-0.2,8,inf,inf,0,,69,-0.003,0.1,7,71.4,
strategyxweekend=asia_pump_short_4h|False,352,58.0,0.0326,1.2,11.5,40,0.61,0.39,143,0.134,209,-0.037,0.0,144,54.2,
concxhour_band=NA|0-5,233,57.9,0.0122,1.08,2.8,6,1.11,1.09,202,-0.008,31,0.142,0.22,37,67.6,
fundxhour_band=NA|0-5,233,57.9,0.0122,1.08,2.8,6,1.11,1.09,202,-0.008,31,0.142,0.22,37,67.6,
hour_bandxmktb=0-5|NA,233,57.9,0.0122,1.08,2.8,6,1.11,1.09,202,-0.008,31,0.142,0.22,37,67.6,
hour_bandxregime=0-5|NA,233,57.9,0.0122,1.08,2.8,6,1.11,1.09,202,-0.008,31,0.142,0.22,37,67.6,
adxxstrategy=20-30|asia_pump_short_4h,152,57.9,0.006,1.04,0.9,26,2.8,2.77,81,0.052,71,-0.047,0.0,71,49.3,
strategyxweekday=follow_3h_all|2,95,57.9,0.0177,1.13,1.7,5,4.53,0.6,89,0.01,6,0.136,0.0,9,77.8,
strategyxweekday=asia_pump_short_4h|5,57,57.9,0.007,1.03,0.4,6,5.56,2.89,9,0.095,48,-0.01,0.0,20,50.0,
hour_bandxstrategy=6-11|nony_momentum,546,57.9,0.0227,1.48,12.4,52,0.18,0.21,262,0.007,278,0.041,0.05,211,60.7,Y
concxstrategy=2-3|nony_momentum,750,57.9,0.0052,1.09,3.9,28,1.78,0.62,190,-0.03,560,0.017,0.04,224,58.5,
strategyxsymbol=setup_fade|APTUSDT,204,57.8,0.0768,1.56,15.7,61,0.14,1.0,102,0.13,101,0.024,0.14,88,56.8,Y
symbolxweekday=BNBUSDT|0,102,57.8,0.0007,1.01,0.1,8,16.28,1.0,67,0.003,35,-0.003,0.06,24,45.8,
decile_bandxsymbol=D10|1000LUNCUSDT,64,57.8,0.0355,1.31,2.3,22,0.33,1.0,36,-0.008,28,0.092,0.17,25,60.0,
sym_statexsymbol=bull|AAVEUSDT,109,57.8,0.0106,1.11,1.2,6,1.45,1.0,0,,109,0.011,0.06,35,54.3,
strategyxregimexdecile_band=ny_flush_buy_4h|bear|D2-3,45,57.8,0.0467,1.35,2.1,7,0.54,0.59,24,0.097,21,-0.011,0.0,11,27.3,
strategyxsymbol=setup_follow|PENDLEUSDT,206,57.8,0.0259,1.43,5.3,61,0.16,1.0,94,0.039,110,0.025,0.12,96,58.3,Y
mktbxstrategy=30-60|burst_follow,940,57.8,0.0201,1.41,18.9,4,0.9,0.12,0,,940,0.02,0.05,326,52.5,
oidxsymbol=<-0.5|PUMPUSDT,52,57.7,-0.0016,0.98,-0.1,9,inf,inf,0,,52,-0.002,0.06,20,55.0,
adxxsymbol=>=30|AAVEUSDT,137,57.7,0.0246,1.24,3.4,8,0.5,1.0,0,,137,0.025,0.09,41,53.7,
cascxstrategy=Y|ny_flush_buy_4h,111,57.7,0.0315,1.22,3.5,12,1.2,1.19,0,,111,0.031,0.0,31,48.4,
strategyxvolz=asia_pump_short_4h|>=5,59,57.6,0.0633,1.41,3.7,28,0.45,0.5,30,0.116,29,0.009,0.0,18,44.4,
strategyxweekdayxregime=london_burst_fade|3|neutral,59,57.6,0.0407,1.28,2.4,3,1.76,1.14,44,0.05,15,0.014,0.14,26,57.7,
strategyxweekdayxhour_band=burst_follow|3|0-5,217,57.6,0.0222,1.42,4.8,8,0.44,0.33,118,0.027,99,0.017,0.09,76,57.9,
strategyxregimexadx=follow_3h_all|bear|NA,158,57.6,0.061,1.58,9.6,7,0.46,0.16,158,0.061,0,,0.0,0,,
strategyxregimexbreadth=follow_3h_all|bear|NA,158,57.6,0.061,1.58,9.6,7,0.46,0.16,158,0.061,0,,0.0,0,,
concxsymbol=NA|NEARUSDT,33,57.6,-0.0268,0.84,-0.9,4,inf,inf,18,-0.059,1,0.122,0.15,2,100.0,
fundxsymbol=NA|NEARUSDT,33,57.6,-0.0268,0.84,-0.9,4,inf,inf,18,-0.059,1,0.122,0.15,2,100.0,
mktbxsymbol=NA|NEARUSDT,33,57.6,-0.0268,0.84,-0.9,4,inf,inf,18,-0.059,1,0.122,0.15,2,100.0,
regimexsymbol=NA|NEARUSDT,33,57.6,-0.0268,0.84,-0.9,4,inf,inf,18,-0.059,1,0.122,0.15,2,100.0,
strategyxsymbol=asia_pump_short_4h|ZECUSDT,66,57.6,0.0578,1.44,3.8,44,0.26,1.0,28,0.13,38,0.004,0.0,34,55.9,Y
fundxsymbol=pos|AAVEUSDT,113,57.5,0.0094,1.09,1.1,8,1.59,1.0,0,,113,0.009,0.07,37,54.1,
mktbxsymbol=>=60|SOLUSDT,40,57.5,0.0078,1.12,0.3,2,0.72,1.0,0,,40,0.008,0.05,17,52.9,
mktbxsymbol=30-60|UNIUSDT,40,57.5,0.0646,2.04,2.6,4,0.36,1.0,0,,40,0.065,0.05,22,54.5,
strategyxweekdayxhour_band=burst_follow|3|18-23,207,57.5,0.0212,1.46,4.4,7,0.57,0.5,96,0.021,111,0.021,0.07,82,59.8,
mktbxstrategy=<30|follow_3h_all,536,57.5,0.0335,1.28,17.9,35,0.25,0.16,474,0.037,62,0.006,0.0,53,50.9,Y
strategy=asia_pump_short_4h,463,57.5,0.0165,1.09,7.6,52,0.91,0.53,173,0.095,290,-0.03,0.0,188,53.7,
imbxstrategy=<0.5|asia_pump_short_4h,463,57.5,0.0165,1.09,7.6,52,0.91,0.53,173,0.095,290,-0.03,0.0,188,53.7,
sessionxstrategy=None|asia_pump_short_4h,463,57.5,0.0165,1.09,7.6,52,0.91,0.53,173,0.095,290,-0.03,0.0,188,53.7,
sidexstrategy=SHORT|asia_pump_short_4h,463,57.5,0.0165,1.09,7.6,52,0.91,0.53,173,0.095,290,-0.03,0.0,188,53.7,
strategyxvs=asia_pump_short_4h|N,463,57.5,0.0165,1.09,7.6,52,0.91,0.53,173,0.095,290,-0.03,0.0,188,53.7,
decile_bandxsymbol=D2-3|AAVEUSDT,94,57.4,0.0024,1.02,0.2,10,3.44,1.0,0,,94,0.002,0.07,26,46.2,
strategyxdecile_bandximb=nony_momentum|D2-3|>=0.5,1372,57.4,0.0107,1.18,14.7,57,0.49,0.31,694,-0.008,648,0.035,0.06,474,59.9,
adxxsymbol=>=30|BCHUSDT,101,57.4,0.0107,1.12,1.1,8,1.03,1.0,0,,101,0.011,0.04,33,54.5,
strategyxsymbol=london_burst_fade|ENAUSDT,101,57.4,0.0673,1.46,6.8,32,0.44,1.0,27,-0.03,73,0.102,0.17,35,60.0,
mktbxoid=>=60|<-0.5,216,57.4,0.0108,1.22,2.3,2,0.59,0.27,0,,216,0.011,0.04,62,51.6,
breadthxstrategy=1|asia_pump_short_4h,61,57.4,0.0145,1.08,0.9,34,1.31,0.86,23,0.142,38,-0.062,0.0,38,52.6,
strategyxweekdayxregime=nony_momentum|1|bull,129,57.4,0.0166,1.42,2.1,3,1.55,0.2,30,-0.04,99,0.034,0.02,41,63.4,
atrpxsymbol=hi|LINKUSDT,68,57.4,0.0158,1.22,1.1,9,0.6,1.0,0,,68,0.016,0.04,16,68.8,
symbolxweekday=TRUMPUSDT|4,68,57.4,0.0184,1.15,1.2,1,1.0,1.0,0,,68,0.018,0.16,39,61.5,
fundxstrategy=flat|follow_3h_all,286,57.3,0.0183,1.15,5.2,28,0.86,0.37,248,0.01,38,0.07,0.0,25,52.0,
strategyxsymbol=ny_flush_buy_4h|ETHUSDT,82,57.3,0.0855,1.71,7.0,48,0.31,1.0,40,0.055,42,0.114,0.0,34,55.9,Y
decile_bandxstrategy=D10|ny_flush_buy_4h,178,57.3,-0.0396,0.79,-7.1,38,inf,inf,58,0.029,120,-0.073,0.0,40,67.5,
strategyxdecile_bandximb=ny_flush_buy_4h|D10|>=0.5,178,57.3,-0.0396,0.79,-7.1,38,inf,inf,58,0.029,120,-0.073,0.0,40,67.5,
decile_bandxstrategy=D2-3|follow_3h_all,316,57.3,0.0411,1.37,13.0,25,0.37,0.31,292,0.033,24,0.137,0.0,11,54.5,Y
strategyxdecile_bandximb=follow_3h_all|D2-3|>=0.5,316,57.3,0.0411,1.37,13.0,25,0.37,0.31,292,0.033,24,0.137,0.0,11,54.5,Y
regimexstrategy=bull|ny_flush_buy_4h,353,57.2,0.049,1.46,17.3,18,0.45,0.39,47,0.044,306,0.05,0.0,67,61.2,
strategyxsidexregime=ny_flush_buy_4h|LONG|bull,353,57.2,0.049,1.46,17.3,18,0.45,0.39,47,0.044,306,0.05,0.0,67,61.2,
strategyxregimextrig=ny_flush_buy_4h|bull|burst,353,57.2,0.049,1.46,17.3,18,0.45,0.39,47,0.044,306,0.05,0.0,67,61.2,
spreadxstrategy=<2|nony_momentum,1070,57.2,0.0095,1.15,10.1,43,0.63,0.52,388,-0.013,682,0.022,0.08,506,58.3,
strategyxsymbol=burst_follow|SOLUSDT,999,57.2,0.0059,1.09,5.9,56,0.22,1.0,536,0.013,452,-0.002,0.07,370,56.2,
fundxstrategy=pos|ny_flush_buy_4h,238,57.1,0.0326,1.26,7.8,40,0.81,0.48,49,0.024,189,0.035,0.0,55,60.0,
fundxsymbol=pos|LINKUSDT,91,57.1,0.0199,1.21,1.8,6,0.31,1.0,0,,91,0.02,0.08,26,57.7,
hour_bandxsymbol=18-23|LINKUSDT,35,57.1,-0.0583,0.61,-2.0,6,inf,inf,0,,35,-0.058,0.14,13,61.5,
mktbxsymbol=30-60|SUIUSDT,77,57.1,0.0021,1.03,0.2,4,1.59,1.0,0,,77,0.002,0.04,16,50.0,
regimexsymbol=bull|BCHUSDT,105,57.1,0.0151,1.17,1.6,8,0.7,1.0,0,,105,0.015,0.05,35,54.3,
strategyxweekend=fade_3h_london|True,42,57.1,0.2271,3.31,9.5,6,0.5,0.31,33,0.24,9,0.18,0.0,6,83.3,
symbolxweekday=AVAXUSDT|6,35,57.1,-0.0521,0.65,-1.8,2,inf,inf,0,,35,-0.052,0.06,10,50.0,
symbolxweekday=PUMPUSDT|1,35,57.1,0.0326,1.4,1.1,1,1.0,1.0,0,,35,0.033,0.11,10,60.0,
symbolxweekend=AAVEUSDT|False,98,57.1,0.0186,1.18,1.8,6,0.7,1.0,0,,98,0.019,0.09,21,52.4,
strategyxregimexbreadth=nony_momentum|bull|1,63,57.1,0.0112,1.21,0.7,19,0.8,0.94,26,-0.038,37,0.046,0.05,32,71.9,
strategyxweekdayxregime=setup_fade|1|NA,42,57.1,0.1111,2.31,4.7,1,1.0,0.5,0,,0,,0.1,0,,
strategyxweekdayxhour_band=setup_follow|2|0-5,184,57.1,0.0361,1.73,6.6,9,0.35,0.16,81,0.044,103,0.03,0.12,87,59.8,
strategyxweekdayxhour_band=london_burst_fade|4|12-17,142,57.0,0.0446,1.24,6.3,8,1.11,0.2,95,0.061,47,0.011,0.2,46,60.9,
fundxsymbol=pos|BCHUSDT,100,57.0,-0.0205,0.82,-2.1,8,inf,inf,0,,100,-0.021,0.04,32,53.1,
strategyxweekdayxhour_band=burst_follow|5|6-11,200,57.0,0.0223,1.55,4.5,8,0.36,0.53,75,0.035,125,0.015,0.06,80,58.8,
strategyxweekday=follow_3h_all|1,93,57.0,0.078,1.74,7.3,6,0.38,0.19,69,0.084,24,0.06,0.0,12,66.7,
oidxstrategy=<-0.5|follow_3h_all,86,57.0,-0.0095,0.91,-0.8,18,inf,inf,10,-0.241,76,0.021,0.0,41,51.2,
symbol=AAVEUSDT,158,57.0,0.0178,1.17,2.8,10,0.6,1.0,0,,158,0.018,0.09,48,52.1,
decile_bandxsymbol=D10|ICPUSDT,79,57.0,0.0222,1.21,1.8,23,0.66,1.0,40,0.027,39,0.018,0.14,28,50.0,
sessionxsymbol=None|AAVEUSDT,158,57.0,0.0178,1.17,2.8,10,0.6,1.0,0,,158,0.018,0.09,48,52.1,
