cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
strategyxweekdayxregime=nony_momentum|2|bear,70,61.4,0.0164,1.28,1.1,3,0.9,0.29,51,0.014,19,0.024,0.04,32,62.5,
strategyxweekdayxregime=london_burst_fade|1|NA,44,61.4,0.1301,1.96,5.7,1,1.0,0.23,0,,0,,0.2,0,,
strategyxsymbol=burst_follow|PUMPUSDT,119,61.3,0.0187,1.33,2.2,10,0.43,1.0,0,,119,0.019,0.08,42,61.9,
sidexsymbol=SHORT|PENGUUSDT,75,61.3,-0.0073,0.94,-0.5,10,inf,inf,0,,75,-0.007,0.07,20,65.0,
strategyxregimexadx=follow_3h_all|neutral|NA,287,61.3,0.0459,1.41,13.2,8,0.41,0.18,287,0.046,0,,0.0,0,,
strategyxregimexbreadth=follow_3h_all|neutral|NA,287,61.3,0.0459,1.41,13.2,8,0.41,0.18,287,0.046,0,,0.0,0,,
cascxstrategy=Y|follow_3h_all,93,61.3,0.043,1.46,4.0,19,0.57,0.34,20,-0.02,73,0.06,0.0,50,56.0,
cascxsymbol=Y|PENDLEUSDT,31,61.3,0.038,1.38,1.2,4,0.88,1.0,0,,31,0.038,0.06,11,54.5,
strategyxweekdayxhour_band=nony_momentum|0|6-11,62,61.3,0.0458,2.4,2.8,7,0.65,0.21,33,0.045,29,0.046,0.06,21,52.4,
oidxsymbol=<-0.5|FETUSDT,54,61.1,0.0199,1.24,1.1,18,0.65,1.0,13,-0.025,41,0.034,0.06,34,55.9,
strategyxregimexdecile_band=nony_momentum|bear|D2-3,203,61.1,0.0277,1.52,5.6,17,0.35,0.21,168,0.028,35,0.026,0.08,48,70.8,Y
mktbxstrategy=>=60|nony_momentum,77,61.0,0.0318,1.96,2.5,2,0.86,0.15,0,,77,0.032,0.05,30,53.3,
hour_bandxstrategy=6-11|follow_3h_all,100,61.0,0.0497,1.41,5.0,21,0.79,0.21,84,0.048,16,0.06,0.0,13,53.8,
strategyxweekday=ny_burst_fade|2,41,61.0,0.0565,1.44,2.3,1,1.0,0.63,41,0.057,0,,0.1,0,,
strategyxregimexdecile_band=follow_3h_all|bull|D10,41,61.0,0.0108,1.1,0.4,9,4.03,1.59,2,-0.12,39,0.017,0.0,22,50.0,
strategyxweekdayxhour_band=ny_burst_fade|2|12-17,41,61.0,0.0565,1.44,2.3,1,1.0,0.63,41,0.057,0,,0.1,0,,
strategyxweekdayxhour_band=nony_momentum|5|6-11,87,60.9,0.0291,1.71,2.5,8,0.63,0.2,26,0.024,61,0.031,0.03,38,60.5,
