cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
stratxsym=setup_follow|AVAXUSDT,37,64.9,64.9,0.0831,2.98,3.1,10,0.28,"[48.8,78.2]",38.2,9.35e-04,0.025,0,,,N,37,64.9,0.083,Y,,,0.083,2,0.4,NO
adxbxweekday=<20|4,271,52.4,52.4,0.0417,1.56,11.3,2,0.66,"[46.5,58.3]",41.3,1.54e-04,0.006,181,50.8,0.021,N,90,55.6,0.083,Y,,0.042,,6,1.8,NO
stratxweekdayxhourb=nony_momentum|2|0-5,137,59.9,59.9,0.0332,1.54,4.6,7,1.24,"[51.5,67.7]",49.3,8.21e-03,0.113,130,58.5,0.031,Y,7,85.7,0.083,N,0.043,0.01,0.083,20,4.4,NO
stratxregimexdecb=london_burst_fade|bull|D10,121,56.2,56.2,0.0877,1.64,10.6,15,0.49,"[47.3,64.7]",43.9,4.47e-03,0.073,24,54.2,0.114,N,97,56.7,0.081,Y,0.076,0.26,0.081,7,3.2,NO
stratxweekdayxregime=nony_momentum|0|bull,97,73.2,73.2,0.0802,4.13,7.8,1,1.0,"[63.6,81.0]",39.8,2.65e-11,0.000,0,,,N,97,73.2,0.08,Y,,,0.08,5,0.8,NO
stratxweekday=london_burst_fade|6,245,47.8,47.8,0.0469,1.39,11.5,8,0.95,"[41.6,54.0]",39.7,6.25e-03,0.094,84,39.3,-0.016,N,161,52.2,0.08,Y,-0.002,-0.152,0.099,10,6.1,NO
stratxregimexrvb=asia_burst_fade|bull|>=5,115,54.8,54.8,0.0824,1.6,9.5,13,1.0,"[45.7,63.6]",43.2,7.96e-03,0.110,24,66.7,0.092,N,91,51.6,0.08,Y,0.027,0.158,0.08,8,5.8,NO
regimexstrat=neutral|fade_3h_late,68,42.6,42.6,0.0322,1.24,2.2,8,2.17,"[31.6,54.5]",37.5,2.25e-01,0.849,54,37.0,0.02,N,14,64.3,0.08,Y,-0.078,0.678,0.08,11,5.0,NO
stratxsidexregime=fade_3h_late|SHORT|neutral,68,42.6,42.6,0.0322,1.24,2.2,8,2.17,"[31.6,54.5]",37.5,2.25e-01,0.849,54,37.0,0.02,N,14,64.3,0.08,Y,-0.078,0.678,0.08,11,5.0,NO
adxbxsym=<20|TAOUSDT,51,54.9,54.9,0.0479,1.59,2.4,10,0.98,"[41.4,67.7]",43.4,6.52e-02,0.447,25,56.0,0.016,N,26,53.8,0.079,N,-0.007,0.06,-0.061,3,0.8,NO
stratxweekdayxhourb=nony_momentum|3|18-23,30,43.3,43.3,-0.017,0.75,-0.5,4,inf,"[27.4,60.8]",50.6,8.36e-01,1.000,29,41.4,-0.02,N,1,100.0,0.077,N,-0.029,0.092,0.077,11,1.7,NO
stratxsym=london_burst_fade|TRUMPUSDT,50,48.0,48.0,0.0768,1.72,3.8,8,0.55,"[34.8,61.5]",34.9,3.79e-02,0.316,0,,,N,50,48.0,0.077,Y,,,0.077,4,1.1,NO
stratxweekday=asia_burst_fade|5,329,48.3,48.3,0.0332,1.23,10.9,8,1.54,"[43.0,53.7]",43.3,3.70e-02,0.312,101,41.6,-0.065,N,228,51.3,0.077,Y,-0.072,-0.015,0.078,21,9.7,NO
stratxweekend=fade_3h_asia|False,85,34.1,34.1,-0.1073,0.49,-9.1,11,inf,"[24.9,44.7]",51.1,9.99e-01,1.000,80,32.5,-0.119,N,5,60.0,0.077,N,-0.119,,0.077,16,10.9,NO
stratxweekdayxhourb=ny_flush_buy_4h|3|12-17,58,50.0,50.0,0.0524,1.59,3.0,7,0.61,"[37.5,62.5]",38.7,5.22e-02,0.392,25,44.0,0.021,N,33,54.5,0.076,Y,0.115,-0.059,0.088,7,2.4,NO
stratxweekdayxhourb=london_burst_fade|3|6-11,229,53.7,53.7,0.0782,1.56,17.9,7,0.57,"[47.2,60.1]",42.7,5.06e-04,0.016,82,56.1,0.083,Y,147,52.4,0.076,Y,0.113,-0.239,0.076,8,6.7,NO
adxbxstrat=<20|london_burst_fade,88,60.2,60.2,0.0643,1.55,5.7,6,0.66,"[49.8,69.8]",49.5,2.78e-02,0.267,50,62.0,0.056,N,38,57.9,0.075,N,-0.118,0.139,-0.032,3,1.8,NO
stratxregimexadxb=london_burst_fade|neutral|<20,88,60.2,60.2,0.0643,1.55,5.7,6,0.66,"[49.8,69.8]",49.5,2.78e-02,0.267,50,62.0,0.056,N,38,57.9,0.075,N,-0.118,0.139,-0.032,3,1.8,NO
stratxregimexrvb=late_fade|neutral|>=5,51,56.9,56.9,0.0508,2.8,2.6,11,0.7,"[43.3,69.5]",32.0,2.13e-04,0.008,22,50.0,0.02,N,29,62.1,0.074,Y,0.021,0.027,0.083,5,0.6,NO
stratxregimexdecb=setup_fade|neutral|D10,187,54.0,54.0,0.063,1.39,11.8,36,0.41,"[46.9,61.0]",45.8,1.45e-02,0.176,94,51.1,0.052,N,93,57.0,0.074,N,0.058,0.061,0.074,6,4.8,NO
stratxweekdayxregime=asia_burst_fade|5|bull,207,50.7,50.7,0.0737,1.54,15.3,2,1.11,"[44.0,57.5]",40.0,1.19e-03,0.028,0,,,N,207,50.7,0.074,Y,,,0.074,21,9.7,NO
stratxsidexregime=late_fade|SHORT|neutral,306,59.8,59.8,0.0552,2.57,16.9,21,0.54,"[54.2,65.1]",36.7,2.17e-16,0.000,165,55.8,0.041,Y,141,64.5,0.072,Y,0.015,0.056,0.084,21,2.6,NO
stratxweekdayxhourb=ny_flush_buy_4h|6|12-17,50,60.0,60.0,0.0131,1.12,0.7,6,5.44,"[46.2,72.4]",57.2,4.03e-01,1.000,12,33.3,-0.172,N,38,68.4,0.072,Y,-0.172,-0.299,0.092,6,3.2,NO
stratxweekdayxhourb=asia_burst_fade|1|0-5,299,51.5,51.5,0.036,1.25,10.8,7,0.95,"[45.9,57.1]",45.8,2.84e-02,0.267,144,50.7,-0.002,N,155,52.3,0.072,Y,-0.008,0.004,0.072,14,6.2,NO
stratxweekdayxhourb=setup_fade|0|6-11,192,52.1,52.1,0.0348,1.22,6.7,9,0.91,"[45.0,59.0]",47.2,9.96e-02,0.581,94,46.8,-0.003,N,98,57.1,0.071,Y,0.063,-0.015,0.06,11,5.4,NO
stratxregimexrvb=london_burst_fade|bear|>=5,43,30.2,30.2,-0.2249,0.4,-9.7,6,inf,"[18.6,45.1]",52.2,9.99e-01,1.000,35,28.6,-0.292,N,8,37.5,0.07,N,-0.286,-0.491,0.07,18,12.6,NO
stratxweekday=nony_momentum|0,389,58.9,58.9,0.0192,1.33,7.5,8,1.04,"[53.9,63.6]",51.8,2.99e-03,0.054,237,49.8,-0.013,N,152,73.0,0.069,Y,0.045,-0.092,0.069,14,10.2,NO
stratxweekdayxhourb=asia_pump_short_4h|6|0-5,37,56.8,56.8,-0.027,0.85,-1.0,6,inf,"[40.9,71.3]",60.6,7.42e-01,1.000,15,46.7,-0.167,N,22,63.6,0.069,N,-0.091,-0.194,0.098,6,3.0,NO
stratxweekdayxhourb=setup_fade|4|6-11,224,50.4,50.4,0.0507,1.31,11.3,9,0.41,"[43.9,56.9]",43.8,2.64e-02,0.259,105,46.7,0.031,N,119,53.8,0.068,Y,0.044,0.074,0.037,12,6.2,NO
symxweekday=DOTUSDT|3,52,55.8,55.8,0.0072,1.06,0.4,8,2.52,"[42.3,68.4]",54.3,4.75e-01,1.000,28,50.0,-0.044,N,24,62.5,0.067,N,-0.043,-0.005,0.053,2,1.6,NO
sessionxstrat=late|follow_3h_all,84,50.0,50.0,-0.0634,0.64,-5.3,19,inf,"[39.5,60.5]",60.9,9.84e-01,1.000,59,49.2,-0.119,N,25,52.0,0.067,N,-0.069,-0.392,0.067,9,7.5,NO
stratxregimexadxb=ny_flush_buy_4h|bear|20-30,70,67.1,67.1,0.0846,1.63,5.9,6,0.79,"[55.5,77.0]",55.6,3.34e-02,0.291,21,66.7,0.126,Y,49,67.3,0.067,N,0.184,0.116,0.067,6,4.1,NO
stratxsym=follow_3h_all|SOLUSDT,57,49.1,49.1,-0.015,0.9,-0.9,19,inf,"[36.6,61.7]",51.8,7.04e-01,1.000,50,48.0,-0.026,N,7,57.1,0.067,N,-0.026,,0.067,6,3.5,NO
hourbxsym=6-11|LINKUSDT,39,53.8,53.8,0.0667,2.04,2.6,7,0.28,"[38.6,68.4]",36.4,1.95e-02,0.214,0,,,N,39,53.8,0.067,Y,,,0.067,2,0.4,NO
stratxregimexdecb=nony_momentum|bear|D10,46,71.7,71.7,0.1111,4.35,5.1,10,0.8,"[57.5,82.7]",36.9,1.64e-06,0.000,38,71.1,0.121,Y,8,75.0,0.066,N,0.13,0.039,0.066,3,0.5,NO
sessionxsym=late|DASHUSDT,63,47.6,47.6,0.047,1.44,3.0,20,0.18,"[35.8,59.7]",38.6,9.16e-02,0.554,31,45.2,0.027,N,32,50.0,0.066,N,0.052,0.019,0.062,6,1.7,NO
rvbxstrat=>=5|asia_burst_fade,291,48.5,48.5,0.0271,1.17,7.9,43,1.21,"[42.8,54.2]",44.6,1.03e-01,0.596,146,46.6,-0.011,N,145,50.3,0.065,Y,0.035,-0.051,0.069,8,8.8,NO
stratxregimexdecb=asia_burst_fade|bull|D10,120,50.8,50.8,0.0789,1.56,9.5,16,1.03,"[42.0,59.6]",39.9,9.86e-03,0.130,24,66.7,0.134,Y,96,46.9,0.065,N,0.074,0.195,0.065,17,7.7,NO
stratxweekdayxhourb=nony_momentum|4|12-17,72,38.9,38.9,-0.066,0.45,-4.8,7,inf,"[28.5,50.4]",58.4,1.00e+00,1.000,60,31.7,-0.092,N,12,75.0,0.065,N,-0.101,-0.084,0.065,15,5.7,NO
stratxweekdayxregime=setup_follow|3|bear,155,55.5,55.5,0.0278,1.44,4.3,3,0.41,"[47.6,63.1]",46.5,1.51e-02,0.181,128,53.1,0.02,N,27,66.7,0.065,Y,0.016,0.03,0.065,9,3.2,NO
rvbxstrat=>=5|late_fade,81,55.6,55.6,0.0396,2.02,3.2,24,0.57,"[44.7,65.9]",38.2,1.13e-03,0.027,34,47.1,0.005,N,47,61.7,0.064,Y,0.006,0.018,0.068,3,0.7,NO
stratxweekdayxregime=late_fade|6|neutral,151,59.6,59.6,0.055,2.26,8.3,4,1.07,"[51.6,67.1]",39.5,5.12e-07,0.000,31,48.4,0.02,N,120,62.5,0.064,Y,0.02,-0.044,0.095,21,2.6,NO
stratxweekdayxregime=nony_momentum|5|neutral,55,38.2,38.2,-0.0484,0.46,-2.7,4,inf,"[26.5,51.4]",57.3,9.99e-01,1.000,51,37.3,-0.057,N,4,50.0,0.063,N,-0.082,0.021,,14,4.3,NO
stratxweekdayxregime=burst_follow|4|bear,209,56.9,56.9,0.0182,1.34,3.8,2,0.83,"[50.2,63.5]",49.6,1.96e-02,0.215,159,53.5,0.004,N,50,68.0,0.063,Y,0.004,,0.063,5,2.5,NO
stratxweekdayxregime=ny_flush_buy_4h|3|bull,41,53.7,53.7,0.0331,1.39,1.4,3,0.81,"[38.7,67.9]",45.4,1.82e-01,0.783,6,16.7,-0.141,N,35,60.0,0.063,Y,-0.141,,0.063,7,1.0,NO
stratxweekday=asia_pump_short_4h|1,77,53.2,53.2,0.0115,1.09,0.9,8,3.16,"[42.2,64.0]",51.2,4.04e-01,1.000,29,44.8,-0.073,N,48,58.3,0.063,N,0.052,-0.0,0.006,7,4.7,NO
symxweekday=TAOUSDT|1,105,51.4,51.4,0.0285,1.25,3.0,8,0.93,"[42.0,60.8]",45.9,1.49e-01,0.725,39,56.4,-0.029,N,66,48.5,0.062,Y,0.005,0.056,0.025,5,2.3,NO
stratxweekdayxhourb=setup_fade|4|12-17,184,53.3,53.3,0.0292,1.18,5.4,9,0.66,"[46.1,60.3]",49.1,1.43e-01,0.713,112,48.2,0.008,N,72,61.1,0.062,N,-0.033,0.08,0.057,9,5.1,NO
stratxregimexrvb=asia_pump_short_4h|neutral|<2,97,60.8,60.8,0.0227,1.14,2.2,26,1.08,"[50.9,69.9]",57.6,2.99e-01,0.949,67,58.2,0.005,N,30,66.7,0.062,N,0.069,-0.155,0.148,6,5.9,NO
stratxweekday=ny_flush_buy_4h|5,55,72.7,72.7,0.0924,1.8,5.1,7,0.63,"[59.8,82.7]",59.6,3.07e-02,0.276,15,80.0,0.173,N,40,70.0,0.062,N,-0.029,0.227,0.096,5,2.3,NO
stratxweekdayxhourb=london_burst_fade|6|6-11,146,47.3,47.3,0.0293,1.22,4.3,7,0.95,"[39.3,55.3]",42.4,1.35e-01,0.692,57,40.4,-0.022,N,89,51.7,0.062,Y,-0.001,-0.221,0.088,10,5.1,NO
stratxsym=london_burst_fade|DOGEUSDT,31,51.6,51.6,0.0616,1.39,1.9,6,0.65,"[34.8,68.0]",43.4,2.29e-01,0.856,0,,,N,31,51.6,0.062,N,,,0.062,3,1.5,NO
symxweekday=QNTUSDT|0,44,50.0,50.0,0.017,1.13,0.7,8,2.42,"[35.8,64.2]",47.0,4.02e-01,1.000,19,52.6,-0.041,N,25,48.0,0.061,N,-0.011,-0.113,0.078,2,2.0,NO
stratxsym=nony_momentum|BNBUSDT,66,65.2,65.2,0.0407,1.79,2.7,27,0.34,"[53.1,75.5]",51.0,1.45e-02,0.176,39,59.0,0.027,N,27,74.1,0.061,Y,0.021,0.047,0.061,4,1.2,NO
stratxregimexdecb=ny_flush_buy_4h|bull|D2-3,252,56.3,56.3,0.0539,1.54,13.6,18,0.41,"[50.2,62.3]",45.5,3.65e-04,0.012,37,40.5,0.014,N,215,59.1,0.061,Y,0.006,0.021,0.061,9,7.2,NO
stratxsym=asia_burst_fade|WLDUSDT,148,43.2,43.2,0.0003,1.0,0.0,40,34.66,"[35.5,51.3]",43.2,5.27e-01,1.000,91,40.7,-0.037,N,57,47.4,0.06,N,-0.057,0.021,0.062,12,7.4,NO
symxweekday=DOGEUSDT|4,31,54.8,54.8,0.0604,1.5,1.9,1,1.0,"[37.8,70.8]",44.8,1.72e-01,0.765,0,,,N,31,54.8,0.06,N,,,0.06,3,0.8,NO
adxbxdecb=<20|D10,276,51.1,51.1,0.0165,1.16,4.6,10,0.76,"[45.2,56.9]",47.5,1.26e-01,0.666,182,50.0,-0.006,N,94,53.2,0.06,Y,0.001,0.017,0.024,8,6.9,NO
symxweekday=ICPUSDT|1,68,52.9,52.9,0.0468,1.46,3.2,9,0.37,"[41.2,64.3]",43.5,7.32e-02,0.478,31,51.6,0.031,N,37,54.1,0.06,N,0.006,0.039,0.083,3,1.2,NO
stratxweekday=follow_3h_all|1,93,57.0,57.0,0.0777,1.74,7.2,6,0.38,"[46.8,66.6]",43.3,5.32e-03,0.083,69,56.5,0.084,Y,24,58.3,0.059,N,0.073,0.442,0.059,12,3.9,NO
hourbxstrat=6-11|follow_3h_all,100,61.0,61.0,0.0494,1.4,4.9,21,0.79,"[51.2,70.0]",52.7,5.88e-02,0.418,84,60.7,0.047,N,16,62.5,0.059,N,0.047,,0.059,11,6.6,NO
sprbxstrat=<2bps|follow_3h_all,82,58.5,58.5,0.0353,1.38,2.9,18,0.57,"[47.7,68.6]",50.6,9.32e-02,0.561,9,33.3,-0.157,N,73,61.6,0.059,Y,-0.005,-0.176,0.059,4,2.2,NO
stratxregimexrvb=ny_flush_buy_4h|bull|<2,231,54.5,54.5,0.0529,1.51,12.2,18,0.43,"[48.1,60.8]",44.3,1.14e-03,0.027,33,39.4,0.019,N,198,57.1,0.059,Y,0.012,0.026,0.059,10,8.9,NO
stratxsym=london_burst_fade|UNIUSDT,42,45.2,45.2,0.0183,1.1,0.8,23,2.67,"[31.2,60.1]",42.9,4.40e-01,1.000,16,50.0,-0.045,N,26,42.3,0.058,N,-0.053,0.007,0.058,6,2.5,NO
stratxweekdayxhourb=nony_momentum|6|6-11,49,63.3,63.3,0.0514,2.57,2.5,7,0.42,"[49.3,75.3]",40.1,8.94e-04,0.024,31,64.5,0.048,Y,18,61.1,0.058,Y,0.031,0.091,0.076,3,0.6,NO
stratxweekdayxregime=ny_flush_buy_4h|3|neutral,44,50.0,50.0,0.0574,1.64,2.5,3,0.56,"[35.8,64.2]",37.9,6.78e-02,0.450,28,50.0,0.058,N,16,50.0,0.057,N,0.178,0.01,0.057,7,2.1,NO
regimexsym=bear|1000LUNCUSDT,98,54.1,54.1,0.0151,1.1,1.5,19,1.08,"[44.2,63.6]",51.7,3.59e-01,1.000,54,51.9,-0.019,N,44,56.8,0.057,N,-0.003,-0.016,0.076,2,3.1,NO
regimexsym=NA|SOLUSDT,91,50.5,50.5,0.062,1.79,5.6,6,0.79,"[40.5,60.6]",36.4,3.94e-03,0.067,87,50.6,0.062,Y,4,50.0,0.056,N,0.054,0.162,,3,1.2,NO
rvbxsym=NA|SOLUSDT,381,50.4,50.4,0.0244,1.29,9.3,11,0.56,"[45.4,55.4]",44.0,7.43e-03,0.103,377,50.4,0.024,Y,4,50.0,0.056,N,0.022,0.162,,4,2.2,NO
adxbxsym=NA|SOLUSDT,811,49.7,49.7,0.0016,1.02,1.3,19,4.08,"[46.3,53.1]",49.3,4.27e-01,1.000,807,49.7,0.001,N,4,50.0,0.056,N,0.0,0.162,,7,9.8,NO
sprbxsym=NA|SOLUSDT,811,49.7,49.7,0.0016,1.02,1.3,19,4.08,"[46.3,53.1]",49.3,4.27e-01,1.000,807,49.7,0.001,N,4,50.0,0.056,N,0.0,0.162,,7,9.8,NO
stratxweekdayxregime=asia_burst_fade|2|bear,96,44.8,44.8,0.0071,1.04,0.7,2,2.07,"[35.2,54.7]",43.9,4.66e-01,1.000,71,40.8,-0.01,N,25,56.0,0.056,N,,-0.01,0.056,15,4.6,NO
stratxweekday=follow_3h_all|4,52,65.4,65.4,0.1179,2.67,6.1,6,0.68,"[51.8,76.8]",41.4,4.18e-04,0.014,32,68.8,0.157,Y,20,60.0,0.056,N,0.157,,0.056,3,1.5,NO
stratxsym=setup_fade|WLDUSDT,141,51.1,51.1,0.011,1.06,1.5,55,1.0,"[42.9,59.2]",49.6,3.95e-01,1.000,73,41.1,-0.031,N,68,61.8,0.056,N,-0.026,0.034,0.016,7,4.7,NO
regimexv3=NA|False,581,53.2,53.2,0.0345,1.31,20.0,7,0.52,"[49.1,57.2]",46.4,6.38e-04,0.019,530,53.2,0.032,Y,51,52.9,0.056,N,0.023,0.122,,7,9.2,NO
regime=NA,771,52.5,52.5,0.0284,1.25,21.9,7,0.45,"[49.0,56.0]",46.9,1.07e-03,0.026,720,52.5,0.026,Y,51,52.9,0.056,N,0.019,0.122,,7,10.8,NO
adxbxregime=NA|NA,771,52.5,52.5,0.0284,1.25,21.9,7,0.45,"[49.0,56.0]",46.9,1.07e-03,0.026,720,52.5,0.026,Y,51,52.9,0.056,N,0.019,0.122,,7,10.8,NO
regimexrvb=NA|NA,771,52.5,52.5,0.0284,1.25,21.9,7,0.45,"[49.0,56.0]",46.9,1.07e-03,0.026,720,52.5,0.026,Y,51,52.9,0.056,N,0.019,0.122,,7,10.8,NO
regimexsprb=NA|NA,771,52.5,52.5,0.0284,1.25,21.9,7,0.45,"[49.0,56.0]",46.9,1.07e-03,0.026,720,52.5,0.026,Y,51,52.9,0.056,N,0.019,0.122,,7,10.8,NO
regimexvolb=NA|hi>=0.40%,771,52.5,52.5,0.0284,1.25,21.9,7,0.45,"[49.0,56.0]",46.9,1.07e-03,0.026,720,52.5,0.026,Y,51,52.9,0.056,N,0.019,0.122,,7,10.8,NO
regimexweekend=NA|False,771,52.5,52.5,0.0284,1.25,21.9,7,0.45,"[49.0,56.0]",46.9,1.07e-03,0.026,720,52.5,0.026,Y,51,52.9,0.056,N,0.019,0.122,,7,10.8,NO
rvbxweekend=NA|False,2098,51.7,51.7,0.0157,1.15,32.9,10,0.32,"[49.6,53.8]",48.2,7.80e-04,0.022,2047,51.7,0.015,Y,51,52.9,0.056,N,0.012,0.122,,8,10.8,NO
rvbxv3=NA|False,2021,51.7,51.7,0.0149,1.16,30.0,12,0.4,"[49.5,53.8]",48.1,6.43e-04,0.019,1970,51.6,0.014,Y,51,52.9,0.056,N,0.011,0.122,,7,12.1,NO
rvb=NA,3092,50.8,50.8,0.0118,1.11,36.5,12,0.29,"[49.1,52.6]",48.2,1.46e-03,0.031,3041,50.8,0.011,Y,51,52.9,0.056,N,0.009,0.122,,8,14.7,NO
adxbxrvb=NA|NA,3092,50.8,50.8,0.0118,1.11,36.5,12,0.29,"[49.1,52.6]",48.2,1.46e-03,0.031,3041,50.8,0.011,Y,51,52.9,0.056,N,0.009,0.122,,8,14.7,NO
rvbxsprb=NA|NA,3092,50.8,50.8,0.0118,1.11,36.5,12,0.29,"[49.1,52.6]",48.2,1.46e-03,0.031,3041,50.8,0.011,Y,51,52.9,0.056,N,0.009,0.122,,8,14.7,NO
rvbxvolb=NA|hi>=0.40%,3092,50.8,50.8,0.0118,1.11,36.5,12,0.29,"[49.1,52.6]",48.2,1.46e-03,0.031,3041,50.8,0.011,Y,51,52.9,0.056,N,0.009,0.122,,8,14.7,NO
adxbxv3=NA|False,4984,50.9,50.9,0.0059,1.06,29.3,20,0.41,"[49.5,52.3]",49.5,2.35e-02,0.242,4933,50.9,0.005,N,51,52.9,0.056,N,0.004,0.122,,21,23.3,NO
sprbxv3=NA|False,4984,50.9,50.9,0.0059,1.06,29.3,20,0.41,"[49.5,52.3]",49.5,2.35e-02,0.242,4933,50.9,0.005,N,51,52.9,0.056,N,0.004,0.122,,21,23.3,NO
adxbxweekend=NA|False,5469,50.8,50.8,0.0055,1.05,29.9,16,0.35,"[49.5,52.2]",49.6,3.96e-02,0.326,5418,50.8,0.005,N,51,52.9,0.056,N,0.004,0.122,,15,18.5,NO
sprbxweekend=NA|False,5469,50.8,50.8,0.0055,1.05,29.9,16,0.35,"[49.5,52.2]",49.6,3.96e-02,0.326,5418,50.8,0.005,N,51,52.9,0.056,N,0.004,0.122,,15,18.5,NO
adxb=NA,7476,50.3,50.3,0.0039,1.04,29.1,20,0.36,"[49.2,51.5]",49.5,6.61e-02,0.447,7425,50.3,0.004,N,51,52.9,0.056,N,0.003,0.122,,15,23.7,NO
sprb=NA,7476,50.3,50.3,0.0039,1.04,29.1,20,0.36,"[49.2,51.5]",49.5,6.61e-02,0.447,7425,50.3,0.004,N,51,52.9,0.056,N,0.003,0.122,,15,23.7,NO
adxbxsprb=NA|NA,7476,50.3,50.3,0.0039,1.04,29.1,20,0.36,"[49.2,51.5]",49.5,6.61e-02,0.447,7425,50.3,0.004,N,51,52.9,0.056,N,0.003,0.122,,15,23.7,NO
adxbxvolb=NA|hi>=0.40%,7476,50.3,50.3,0.0039,1.04,29.1,20,0.36,"[49.2,51.5]",49.5,6.61e-02,0.447,7425,50.3,0.004,N,51,52.9,0.056,N,0.003,0.122,,15,23.7,NO
sprbxvolb=NA|hi>=0.40%,7476,50.3,50.3,0.0039,1.04,29.1,20,0.36,"[49.2,51.5]",49.5,6.61e-02,0.447,7425,50.3,0.004,N,51,52.9,0.056,N,0.003,0.122,,15,23.7,NO
stratxweekdayxregime=london_burst_fade|5|bear,34,44.1,44.1,-0.0687,0.62,-2.3,2,inf,"[28.9,60.5]",56.0,9.42e-01,1.000,29,44.8,-0.09,N,5,40.0,0.056,N,-0.09,,0.056,3,2.8,NO
adxbxstrat=>=30|follow_3h_all,95,63.2,63.2,0.0548,1.76,5.2,9,0.44,"[53.1,72.2]",49.3,4.64e-03,0.074,0,,,N,95,63.2,0.055,Y,,,0.055,5,2.2,NO
stratxregimexadxb=follow_3h_all|bull|>=30,95,63.2,63.2,0.0548,1.76,5.2,9,0.44,"[53.1,72.2]",49.3,4.64e-03,0.074,0,,,N,95,63.2,0.055,Y,,,0.055,5,2.2,NO
stratxregimexdecb=london_burst_fade|neutral|D4-9,111,45.0,45.0,0.0359,1.19,4.0,23,0.52,"[36.1,54.3]",40.9,2.12e-01,0.825,79,46.8,0.028,N,32,40.6,0.055,N,-0.074,0.089,0.101,12,4.3,NO
symxweekday=ARBUSDT|5,90,50.0,50.0,0.0479,1.46,4.3,9,0.46,"[39.9,60.1]",40.6,4.41e-02,0.350,33,48.5,0.036,N,57,50.9,0.055,N,0.038,0.067,0.041,3,1.3,NO
stratxweekdayxhourb=nony_momentum|1|6-11,89,66.3,66.3,0.049,2.53,4.4,8,0.5,"[56.0,75.3]",43.7,1.49e-05,0.001,29,55.2,0.038,N,60,71.7,0.055,Y,-0.012,0.068,0.055,6,0.8,NO
rvbxweekday=>=5|3,308,50.0,50.0,0.0146,1.13,4.5,8,0.83,"[44.5,55.5]",46.9,1.54e-01,0.734,186,50.0,-0.011,N,122,50.0,0.054,Y,-0.049,0.046,0.051,6,6.6,NO
symxweekday=APTUSDT|4,110,52.7,52.7,0.0438,1.41,4.8,9,0.39,"[43.5,61.8]",44.2,4.43e-02,0.350,61,50.8,0.035,N,49,55.1,0.054,N,0.017,0.086,0.048,3,1.8,NO
stratxweekdayxregime=asia_burst_fade|4|bull,238,51.7,51.7,0.0022,1.01,0.5,3,17.62,"[45.4,58.0]",51.4,4.88e-01,1.000,36,25.0,-0.289,N,202,56.4,0.054,Y,-0.289,,0.054,13,10.9,NO
sidexsym=LONG|PENDLEUSDT,240,60.0,60.0,0.0124,1.14,3.0,62,0.7,"[53.7,66.0]",56.8,1.75e-01,0.765,118,55.9,-0.031,N,122,63.9,0.054,Y,-0.028,0.008,0.047,5,4.6,NO
stratxregimexdecb=setup_fade|bull|D4-9,449,54.6,54.6,0.0316,1.18,14.2,22,0.51,"[49.9,59.1]",50.4,4.30e-02,0.344,103,49.5,-0.042,N,346,56.1,0.053,Y,-0.178,0.077,0.053,6,8.9,NO
sessionxsym=ny|TAOUSDT,181,52.5,52.5,0.0412,1.42,7.5,43,0.32,"[45.2,59.6]",43.7,1.08e-02,0.139,70,48.6,0.022,N,111,55.0,0.053,Y,0.019,0.079,0.035,4,1.6,NO
regimexstrat=bull|follow_3h_all,109,56.0,56.0,0.015,1.15,1.6,12,1.4,"[46.6,64.9]",52.5,2.64e-01,0.909,13,7.7,-0.265,N,96,62.5,0.053,Y,-0.265,,0.053,10,3.6,NO
stratxsidexregime=follow_3h_all|LONG|bull,109,56.0,56.0,0.015,1.15,1.6,12,1.4,"[46.6,64.9]",52.5,2.64e-01,0.909,13,7.7,-0.265,N,96,62.5,0.053,Y,-0.265,,0.053,10,3.6,NO
decbxstrat=D10|fade_3h_london,33,60.6,60.6,0.153,2.42,5.1,12,0.53,"[43.7,75.3]",38.9,9.41e-03,0.125,24,62.5,0.191,Y,9,55.6,0.053,N,0.191,,0.053,2,1.0,NO
symxweekday=DOGEUSDT|3,32,62.5,62.5,0.0526,1.5,1.7,1,1.0,"[45.3,77.1]",52.7,1.74e-01,0.765,0,,,N,32,62.5,0.053,N,,,0.053,2,1.4,NO
sidexsym=LONG|ARBUSDT,346,54.9,54.9,0.037,1.39,12.8,60,0.29,"[49.6,60.1]",46.6,1.22e-03,0.028,187,51.3,0.024,N,159,59.1,0.053,Y,0.025,0.052,0.038,9,3.9,NO
stratxsym=asia_burst_fade|FETUSDT,31,45.2,45.2,-0.0024,0.98,-0.1,17,inf,"[29.2,62.2]",45.6,5.87e-01,1.000,14,42.9,-0.069,N,17,47.1,0.052,N,-0.272,0.068,0.038,5,1.6,NO
stratxweekdayxhourb=nony_momentum|1|12-17,98,55.1,55.1,0.0072,1.12,0.7,6,1.57,"[45.2,64.6]",52.2,3.19e-01,0.973,52,42.3,-0.032,N,46,69.6,0.052,Y,-0.068,0.029,0.052,9,2.7,NO
