cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
symxweekend=RUNEUSDT|False,272,48.2,48.2,-0.0046,0.96,-1.2,37,inf,"[42.3,54.1]",49.1,6.46e-01,1.000,140,48.6,0.002,N,132,47.7,-0.011,N,0.006,-0.005,-0.012,6,2.8,NO
rvbxweekday=<2|0,2798,50.1,50.1,-0.0121,0.9,-33.9,9,inf,"[48.2,51.9]",52.8,9.98e-01,1.000,1364,48.8,-0.013,N,1434,51.3,-0.011,N,-0.014,-0.004,-0.016,17,35.1,NO
session=ny,7680,51.4,51.4,-0.0018,0.98,-14.0,61,inf,"[50.2,52.5]",51.8,7.83e-01,1.000,3587,52.0,0.009,Y,4093,50.8,-0.011,N,0.009,0.0,-0.01,37,51.9,NO
sessionxvolb=ny|hi>=0.40%,7680,51.4,51.4,-0.0018,0.98,-14.0,61,inf,"[50.2,52.5]",51.8,7.83e-01,1.000,3587,52.0,0.009,Y,4093,50.8,-0.011,N,0.009,0.0,-0.01,37,51.9,NO
stratxsym=setup_follow|XRPUSDT,188,54.3,54.3,0.004,1.06,0.7,60,0.92,"[47.1,61.2]",52.9,3.83e-01,1.000,82,59.8,0.024,N,106,50.0,-0.011,N,0.035,-0.019,-0.003,6,3.2,NO
hourbxsession=18-23|ny,3467,51.2,51.2,0.0005,1.0,1.8,61,6.97,"[49.6,52.9]",51.1,4.51e-01,1.000,1584,52.1,0.015,Y,1883,50.5,-0.011,N,0.011,0.008,-0.011,33,26.3,NO
stratxregimexdecb=ny_flush_buy_4h|bear|D2-3,45,57.8,57.8,0.0463,1.34,2.1,7,0.54,"[43.3,71.0]",50.5,2.03e-01,0.813,24,62.5,0.097,N,21,52.4,-0.011,N,0.15,0.065,-0.011,6,1.7,NO
hourbxside=0-5|SHORT,3738,50.4,50.4,-0.0078,0.94,-29.2,62,inf,"[48.8,52.0]",51.9,9.68e-01,1.000,1742,51.3,-0.004,N,1996,49.5,-0.012,N,-0.008,0.0,-0.012,24,54.5,NO
hourbxsym=12-17|RUNEUSDT,104,48.1,48.1,0.0032,1.03,0.3,34,2.56,"[38.7,57.6]",47.4,4.85e-01,1.000,51,47.1,0.019,N,53,49.1,-0.012,N,0.05,-0.094,-0.008,4,3.5,NO
sessionxweekday=asia|2,1558,49.9,49.9,-0.0122,0.9,-19.1,9,inf,"[47.5,52.4]",52.5,9.82e-01,1.000,1062,49.8,-0.013,N,496,50.2,-0.012,N,-0.025,0.007,-0.011,9,24.4,NO
regimexsym=bull|FILUSDT,209,50.7,50.7,-0.0116,0.9,-2.4,19,inf,"[44.0,57.4]",53.3,7.90e-01,1.000,32,40.6,-0.011,N,177,52.5,-0.012,N,-0.041,0.022,-0.012,4,5.0,NO
adxbxsym=>=30|RENDERUSDT,95,48.4,48.4,-0.0147,0.89,-1.4,13,inf,"[38.6,58.3]",51.3,7.44e-01,1.000,2,50.0,-0.155,N,93,48.4,-0.012,N,,-0.105,-0.011,4,2.8,NO
sidexsym=SHORT|DASHUSDT,236,51.3,51.3,0.024,1.17,5.7,58,0.31,"[44.9,57.6]",47.3,1.24e-01,0.663,125,56.0,0.056,Y,111,45.9,-0.012,N,0.037,0.05,-0.015,6,4.1,NO
stratxsym=setup_follow|APTUSDT,203,41.4,41.4,-0.028,0.67,-5.7,61,inf,"[34.8,48.3]",51.3,9.98e-01,1.000,102,38.2,-0.044,N,101,44.6,-0.012,N,-0.04,-0.046,0.002,8,8.6,NO
hourbxsym=0-5|APTUSDT,163,49.7,49.7,0.0137,1.12,2.2,42,0.47,"[42.1,57.3]",46.9,2.61e-01,0.907,95,50.5,0.032,N,68,48.5,-0.012,N,0.007,0.043,-0.006,3,1.9,NO
sessionxsym=london|BNBUSDT,332,50.9,50.9,-0.0021,0.98,-0.7,49,inf,"[45.5,56.2]",51.3,5.84e-01,1.000,195,50.8,0.005,N,137,51.1,-0.012,N,0.004,0.002,-0.012,4,3.6,NO
sidexstrat=SHORT|setup_follow,1558,51.9,51.9,-0.0044,0.94,-6.9,61,inf,"[49.4,54.3]",53.4,8.87e-01,1.000,751,53.3,0.004,N,807,50.6,-0.012,N,0.004,0.002,-0.018,11,17.2,NO
hourbxregime=12-17|neutral,3168,49.9,49.9,0.0013,1.01,4.2,32,3.11,"[48.2,51.6]",49.6,3.82e-01,1.000,1999,50.2,0.009,N,1169,49.4,-0.012,N,0.006,0.008,-0.016,16,21.4,NO
regime=neutral,12053,49.7,49.7,-0.0031,0.97,-37.3,40,inf,"[48.8,50.6]",50.4,9.35e-01,1.000,7700,49.8,0.002,N,4353,49.7,-0.012,N,0.002,0.002,-0.02,23,66.4,NO
regimexvolb=neutral|hi>=0.40%,12053,49.7,49.7,-0.0031,0.97,-37.3,40,inf,"[48.8,50.6]",50.4,9.35e-01,1.000,7700,49.8,0.002,N,4353,49.7,-0.012,N,0.002,0.002,-0.02,23,66.4,NO
