symbol,entry_time,exit_time,entry_price,exit_price,pnl_r,pnl_usd,exit_reason,decile,aggression,candles_held,mae,mfe,risk_pct,entry_atr,equity_after,confirmations,vol_z
XLMUSDT,2026-04-16T15:54:59.999000+00:00,2026-04-16T15:59:59.999000+00:00,0.16339267200000002,0.16377438142857143,0.1851,182.84,vol_trail,3,70.7,1,0.0,0.5768,0.04,0.0006657142857142874,24837.43,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.5302433648732237
SOLUSDT,2026-04-16T15:39:59.999000+00:00,2026-04-16T16:54:59.999000+00:00,86.727342,85.64108264285714,-1.0694,-1058.08,stop_loss,3,71.0,15,-0.8842,0.0475,0.04,0.42071428571428576,23779.35,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.5815786424354457
ARBUSDT,2026-04-17T06:14:59.999000+00:00,2026-04-17T06:29:59.999000+00:00,0.130026,0.13063101142857142,0.3254,309.52,vol_trail,9,83.3,3,0.0,0.9532,0.04,0.0006714285714285688,24055.72,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.098570639982759
PENDLEUSDT,2026-04-17T08:44:59.999000+00:00,2026-04-17T09:19:59.999000+00:00,1.33686732,1.3057852192857142,-1.0365,-997.38,stop_loss,1,59.6,7,-0.8771,0.0589,0.04,0.01222142857142859,23039.4,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",3.1470589831956963
BNBUSDT,2026-04-17T09:29:59.999000+00:00,2026-04-17T09:34:59.999000+00:00,635.0569859999999,631.4572547142856,-1.1606,-1069.59,stop_loss,8,82.5,1,-1.1296,0.0,0.04,1.3385714285714374,21891.11,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.869089599648999
XLMUSDT,2026-04-17T12:54:59.999000+00:00,2026-04-17T13:09:59.999000+00:00,0.17077414800000001,0.17088260235714284,0.0244,21.32,vol_trail,9,82.6,3,-0.0309,0.5724,0.04,0.000517142857142853,21804.46,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.420402237794289
1000PEPEUSDT,2026-04-17T12:49:59.999000+00:00,2026-04-17T13:14:59.999000+00:00,0.00398459676,0.003996375565000001,0.2219,194.1,vol_trail,9,83.6,5,-0.12,0.8648,0.04,1.7992857142857034e-05,21998.56,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.9477029422963907
ETHUSDT,2026-04-17T13:14:59.999000+00:00,2026-04-17T13:29:59.999000+00:00,2406.341172,2408.4460715714285,0.0411,36.14,vol_trail,9,84.3,3,-0.0804,0.6459,0.04,9.945714285714303,21996.37,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",5.180750368490038
ARBUSDT,2026-04-17T12:09:59.999000+00:00,2026-04-17T14:04:59.999000+00:00,0.13532706,0.13275558642857144,-1.045,-915.07,stop_loss,1,65.4,23,-0.9532,0.3972,0.04,0.0010071428571428553,21081.31,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.4296928380521603
XLMUSDT,2026-04-18T04:09:59.999000+00:00,2026-04-18T04:14:59.999000+00:00,0.175955184,0.17451901778571427,-1.1088,-935.0,stop_loss,9,83.4,1,-0.7906,0.0,0.04,0.0005464285714285648,20097.43,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",3.4330936716652096
CHZUSDT,2026-04-20T00:59:59.999000+00:00,2026-04-20T03:19:59.999000+00:00,0.042018401999999996,0.04289142,1.3354,1073.54,vol_trail,6,78.4,28,-0.7039,2.0961,0.04,0.0002557142857142857,21147.2,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": false, ""impulse"": true, ""momentum"": true}",4.809624840960294
1000PEPEUSDT,2026-04-20T18:04:59.999000+00:00,2026-04-20T19:44:59.999000+00:00,0.0038160630600000004,0.003814572647142857,-0.0828,-70.01,vol_trail,8,81.7,20,-0.3226,0.5239,0.04,1.5500000000000045e-05,21039.71,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",4.319463654936089
RUNEUSDT,2026-04-26T15:24:59.999000+00:00,2026-04-26T19:09:59.999000+00:00,0.49249848,0.5066058014285715,3.7548,3160.0,vol_trail,8,81.3,45,-0.1082,4.8696,0.04,0.0014785714285714205,24149.24,"{""breakout"": true, ""imb"": false, ""vol"": true, ""body"": true, ""impulse"": true, ""momentum"": true}",7.264227799498601
