symbol,ts,tier,direction,share,hour,fwd_1h,fwd_2h,fwd_4h,fwd_8h,fwd_24h,dd_24h,ru_24h
XLMUSDT,1770044400,0.1,short_dom,0.1258,15,-0.6073752711496636,-0.5871294287780157,-1.9334779464931249,-3.279826464208234,-3.026753434562536,-8.159074475777276,1.346348517715109
NEARUSDT,1770051600,0.1,long_dom,0.1174,17,0.18181818181816137,-1.6363636363636542,-2.545454545454542,-4.9090909090909225,-13.454545454545435,-13.636363636363637,1.2727272727272507
ADAUSDT,1770062400,0.1,long_dom,0.1108,20,1.5,1.0,0.7000000000000333,2.0,1.900000000000011,-17.499999999999943,5.800000000000022
WLDUSDT,1770073200,0.1,short_dom,0.1854,23,-1.622516556291392,-2.132450331125824,-1.7615894039735216,-1.4834437086092622,-0.7880794701986658,-7.324503311258268,8.158940397350994
CHZUSDT,1770084000,0.1,long_dom,0.1185,2,3.960159362549827,2.509960159362553,-5.466135458167359,-8.143426294820761,2.0637450199203387,-16.231075697211228,4.462151394422338
ADAUSDT,1770084000,0.1,long_dom,0.1725,2,4.430379746835421,6.113924050632842,3.1012658227847947,1.15189873417718,0.7088607594936379,-11.164556962025252,9.481012658227781
NEARUSDT,1770084000,0.1,long_dom,0.1072,2,4.597014925373127,5.6417910447761335,4.388059701492553,3.5522388059701666,2.9253731343283533,-10.86567164179098,12.955223880596995
WLDUSDT,1770091200,0.1,short_dom,0.1472,4,-1.0926829268293017,-0.6829268292682945,-1.843902439024418,1.5707317073170548,6.282926829268295,-8.946341463414651,13.863414634146357
CHZUSDT,1770098400,0.2,long_dom,0.206,6,1.7319587628865925,0.0,-2.3092783505154677,1.6357388316151187,5.676975945017179,-9.28522336769759,8.852233676975942
DOTUSDT,1770127200,0.1,long_dom,0.1205,14,3.3793103448275663,-0.7241379310344842,-7.48275862068967,0.9655172413792855,-5.310344827586218,-8.086206896551754,8.448275862068956
XLMUSDT,1770127200,0.2,long_dom,0.274,14,5.724020442930138,1.0374787052810992,-7.2027257240204134,2.9454855195911342,-5.3066439522998285,-7.524701873935258,9.325383304940345
ARBUSDT,1770127200,0.1,long_dom,0.1127,14,0.6306306306306344,-4.16216216216218,-11.60360360360368,-3.5315315315315456,-2.270270270270277,-11.855855855855925,4.414414414414441
FETUSDT,1770127200,0.1,long_dom,0.1255,14,4.941176470588223,0.20588235294118193,-7.41176470588235,2.161764705882339,-1.4411764705882448,-7.720588235294108,9.26470588235293
WLDUSDT,1770130800,0.1,short_dom,0.1658,15,-1.0201550387596894,-3.624806201550398,0.0,-1.6713178294573665,-3.255813953488386,-4.731782945736446,2.5178294573643494
FILUSDT,1770138000,0.35,long_dom,0.9759,17,-4.839506172839539,4.148148148148177,7.0864197530864494,6.740740740740768,1.0370370370370443,-5.185185185185221,11.753086419753167
ADAUSDT,1770138000,0.35,long_dom,0.4903,17,-2.75502008032129,4.216867469879516,5.341365461847387,5.566265060240936,-1.0120481927710963,-3.1485943775100322,9.783132530120453
DOTUSDT,1770141600,0.35,long_dom,0.506,18,6.708333333333322,11.4722222222222,6.805555555555533,7.388888888888867,2.2361111111111,-1.069444444444455,12.83333333333331
XLMUSDT,1770141600,0.35,long_dom,0.3765,18,7.647141848976699,11.96471418489764,8.407904022582901,8.151023288637937,2.914608327452341,-0.9781227946365734,13.693719124911752
1000LUNCUSDT,1770141600,0.35,long_dom,0.3728,18,6.3437499999999964,10.412499999999996,9.36249999999998,10.543750000000006,3.7624999999999966,-0.0874999999999964,12.512500000000001
NEARUSDT,1770141600,0.2,long_dom,0.222,18,6.183333333333332,10.50000000000002,6.6499999999999995,7.3500000000000005,3.8499999999999943,-0.23333333333333375,12.950000000000012
ARBUSDT,1770141600,0.2,mixed,0.2227,18,5.063829787234041,10.028368794326248,6.354609929078037,7.645390070922005,6.553191489361703,-0.09929078014183312,11.9148936170213
FETUSDT,1770141600,0.35,long_dom,0.7421,18,7.695906432748565,11.871345029239793,7.614035087719311,9.16959064327488,5.812865497076028,-0.16374269005846173,13.263157894736878
CHZUSDT,1770141600,0.35,long_dom,0.7109,18,5.121140142517816,8.845605700712602,7.415676959619964,10.574821852731603,7.116389548693599,-0.33254156769597165,12.204275534441809
WLDUSDT,1770145200,0.2,short_dom,0.2702,19,1.095305832147937,0.13940256045518756,-1.5334281650071073,-0.07965860597439763,-0.8364153627311475,-4.261735419630157,2.3100995732574647
APTUSDT,1770145200,0.1,short_dom,0.183,19,3.54216867469877,1.6117804551539336,-0.4029451137884834,1.7242302543507289,-0.4779116465863539,-4.825970548862111,4.722891566265047
ENAUSDT,1770148800,0.35,short_dom,0.6763,20,-1.7319587628866076,-2.958762886597953,-2.6701030927835117,-1.371134020618566,-4.546391752577319,-7.3608247422680515,1.0103092783505043
NEARUSDT,1770202800,0.2,mixed,0.332,11,-0.7272727272727242,-4.181818181818184,-6.363636363636357,-0.5454545454545633,-13.99999999999992,-17.63636363636354,0.7272727272727242
DOTUSDT,1770210000,0.1,long_dom,0.1534,13,-4.162162162162175,-4.7297297297297645,-5.675675675675692,-3.216216216216247,-17.594594594594668,-19.297297297297355,2.8378378378378253
XLMUSDT,1770213600,0.1,long_dom,0.1061,14,0.008505467800737602,-0.13608748481166,1.156743620899157,0.3657351154313628,-8.04617253948972,-10.436208991494603,4.116646415552892
1000LUNCUSDT,1770213600,0.1,long_dom,0.1065,14,-0.9503916449086282,-1.6814621409921746,-1.900783289817231,-0.6579634464751943,-5.483028720626637,-7.895561357702357,1.6083550913838225
ADAUSDT,1770213600,0.1,long_dom,0.1356,14,-0.17391304347826642,-0.4782608695652145,0.3043478260869481,-1.5652173913043494,-6.56521739130437,-8.652173913043494,2.8695652173913113
APTUSDT,1770213600,0.1,long_dom,0.1822,14,0.1355463347164655,0.08713692946059264,0.6970954356846552,-0.948824343015194,-5.7316735822959695,-7.561549100968157,2.904564315352694
NEARUSDT,1770217200,0.1,long_dom,0.1782,15,-0.16766467065868318,-0.4191616766466987,2.682634730538931,0.9221556886227669,-7.544910179640725,-9.640718562874275,3.2694610778443316
FILUSDT,1770217200,0.1,long_dom,0.1143,15,-0.2641509433962364,0.0,1.7610062893081773,0.0,-8.54088050314466,-11.006289308176099,2.025157232704394
CHZUSDT,1770217200,0.1,long_dom,0.1788,15,-0.04852686308491994,1.0433275563258209,3.372616984402079,2.6204506065857776,-5.313691507798944,-7.473136915077974,5.556325823223561
XLMUSDT,1770228000,0.1,short_dom,0.1057,18,2.37506775067752,1.722493224932264,-0.7056910569105579,-3.1490514905148914,-14.136585365853627,-16.496476964769613,2.64065040650407
ADAUSDT,1770231600,0.1,short_dom,0.1506,19,-1.5984251968504026,-3.85826771653544,-3.3622047244094486,-5.291338582677168,-21.330708661417347,-21.82677165354334,0.3307086614173173
DOTUSDT,1770238800,0.2,long_dom,0.2124,21,-1.4951456310679412,0.4077669902912759,-0.13592233009707186,-2.038834951456289,-27.592233009708632,-30.85436893203869,3.1262135922330145
APTUSDT,1770242400,0.2,long_dom,0.2547,22,1.0950920245398734,1.0414110429447636,0.3542944785275914,-1.2239263803681038,-17.532208588957015,-21.128834355828182,2.973926380368074
XLMUSDT,1770253200,0.1,long_dom,0.1044,1,-1.963172804532592,-3.460339943342805,-2.627478753541096,-6.167138810198319,-14.654390934844242,-32.47167138810206,1.2592067988668518
